Column1,Column2,Column3,Column4,Column5,Column6
YVCKI,2013/07/03,258.43,NQZNU,889.11,2013/01/02
MSDHO,2004/10/01,164.21,UJFBH,-83.12,2018/05/16
YSRJY,2005/12/07,450.13,GUURZ,-321.51,2002/04/23
NOHZG,2017/05/28,-315.77,ZPWSO,-651.67,2000/11/29
FLZGU,2015/11/20,-554.93,MCOWW,816.17,2005/06/05
CGOVL,2018/12/07,800.14,WEZDW,-298.76,2005/11/29
UAUAV,2005/07/18,934.98,CYVXP,-118.59,2012/05/27
RRGCZ,2008/08/09,358.88,FEWNB,-197.76,2017/01/27
BYDWN,2011/03/03,18.87,GCSDV,898.31,2000/06/29
YUDZT,2008/05/19,17.52,ACWPQ,-473.85,2000/06/19
CGRNE,2011/05/07,-372.48,IJWMB,273.82,2011/07/26
GOFPA,2010/11/30,-189.17,BCOCI,-382.36,2013/08/29
YVNSA,2014/01/01,897.24,ENVAA,-305.52,2015/05/09
TVEMW,2004/12/17,-460.86,DFNBX,-442.73,2007/09/23
FDGBN,2008/03/29,-197.45,QPFZY,-932.09,2009/01/14
IFFDW,2016/12/09,-193.9,THBBR,996.58,2012/12/19
ZZIEH,2010/07/02,-561.9,NJQMK,38.65,2009/03/25
QPAJI,2018/05/29,508.91,KSVAQ,-126.64,2003/04/23
ISOPD,2017/12/09,-113.0,AHCXF,-252.4,2003/04/30
OPILY,2011/04/24,-231.18,RCYXS,-236.64,2004/12/16
HBEPP,2018/07/24,-861.79,YJEUR,-54.65,2002/01/14
HZCDO,2007/06/29,-70.91,ZZGYB,-900.15,2011/01/26
JBXDL,2014/09/11,-555.09,KYYQG,386.41,2012/04/29
AGFNS,2017/08/22,-581.67,ZEUPR,71.14,2012/04/18
ZNUZP,2017/03/07,-574.52,XLIQL,-897.4,2002/10/25
SIRFP,2013/09/03,564.69,OJYCL,261.47,2016/12/10
TGKHN,2010/09/10,213.16,FUMOL,461.98,2014/09/05
RVQUQ,2009/09/17,-411.29,QURIR,610.04,2002/04/15
WPEQI,2000/05/15,401.79,BCNEP,303.45,2016/05/04
WRVBU,2002/11/26,693.54,IRMHD,204.28,2004/02/17
LAITY,2016/03/23,531.39,YNFAG,661.49,2009/12/11
EVLMH,2007/10/11,-576.1,PXCCB,-521.26,2011/08/15
HVXRZ,2001/04/05,956.55,JJNKU,181.95,2005/10/04
BHAJX,2017/12/06,428.89,GSQIN,887.47,2006/11/02
VMDHF,2019/01/22,712.73,RYFEN,-932.29,2012/06/18
DYEAJ,2005/08/11,-337.82,XKXOR,845.8,2019/05/03
MGLDU,2009/01/13,-570.51,LHUQR,902.31,2017/05/03
UYHEP,2015/06/13,232.19,OPNRU,52.77,2012/10/06
IPKIN,2005/09/25,913.8,BSUVV,256.65,2018/06/27
ZWSZS,2000/06/22,-503.03,VWBGI,-837.2,2004/01/09
YPQVI,2000/12/23,-499.03,PEWPG,-170.98,2013/06/28
GRQCM,2000/07/25,-822.28,UBEOQ,933.11,2010/10/15
KGTRP,2007/12/02,-891.05,NIZZZ,64.78,2016/07/14
LDCPX,2003/10/17,-969.94,FNZGD,567.89,2010/10/28
JTMUG,2013/07/05,-539.16,ZSLBW,230.81,2007/01/22
SEJRL,2010/12/12,-727.42,IPNBG,-759.57,2018/07/30
ZKNGL,2001/09/29,-261.27,FBNJF,245.19,2014/04/29
ODARH,2012/12/30,-611.36,KUHZI,-849.24,2008/06/15
JCDGZ,2007/05/08,557.32,DOUMR,-709.91,2010/10/30
CTUCH,2011/07/17,763.95,ANJUH,-324.41,2008/11/22
BKNOT,2004/01/20,45.52,MDSPP,-155.25,2016/12/22
FDCEM,2016/09/13,867.21,VHPII,-990.46,2011/01/06
CQRTL,2016/05/23,-115.29,UUHRY,-770.53,2008/07/14
UZHLF,2009/07/24,-45.15,TCYOR,780.25,2010/10/15
VAWJT,2006/01/26,85.79,LJZYX,-463.38,2002/08/26
YSCDF,2016/02/21,506.68,BUBKF,705.67,2007/08/16
EPFZU,2016/12/06,813.26,GOQWE,-736.68,2016/05/19
TGQTW,2005/03/17,21.04,QYTIN,-342.66,2016/10/14
KPDKE,2008/03/09,814.12,CWUEU,-706.52,2009/03/21
FHDTU,2013/03/07,633.77,SBANI,253.78,2004/02/24
UJISH,2012/03/18,921.79,SIZMU,-241.16,2000/01/23
YIKFB,2000/11/10,779.04,XIPID,580.75,2010/01/10
ALPTJ,2001/01/23,410.3,TFQSE,-418.74,2004/07/13
DBFBA,2011/08/07,-441.36,LMCQF,77.88,2019/07/18
SWGBS,2006/09/08,-906.72,YLWYL,693.25,2017/05/27
ZNOMX,2003/04/25,12.11,IXZJM,-933.98,2019/03/19
MQPEM,2007/04/19,-694.34,TIZUD,453.21,2000/09/16
XJHST,2000/03/13,510.42,VMXYP,-996.88,2002/03/27
LOJGB,2006/04/07,952.61,JZTTP,-938.19,2019/05/06
VTCXI,2006/06/29,-713.94,DPUMJ,-483.52,2002/04/21
CAQPX,2001/04/04,914.36,TZVHF,-434.14,2015/12/04
IZNFG,2010/10/18,162.47,UIAVJ,436.62,2005/11/01
AIHUI,2006/06/06,-397.45,QYTCJ,-492.25,2012/11/09
FWDKA,2016/09/29,-813.07,ILQEA,-113.34,2002/02/16
XGIGG,2000/12/13,-554.34,IDAOR,187.05,2000/06/28
GHPKU,2005/03/10,153.97,LXRDB,129.42,2003/03/02
UCTCQ,2017/09/24,757.99,LHOLS,722.45,2007/05/09
VTZDW,2014/08/06,-764.09,XZUUU,-499.03,2004/03/13
HCAWZ,2013/09/02,-905.56,HAJAQ,542.77,2003/01/17
SDKSA,2011/05/18,-808.43,AWYXT,263.6,2008/04/06
PFHHO,2009/09/15,603.81,ASHZV,83.32,2016/01/30
WWCLQ,2003/11/05,-748.4,HSDXQ,737.24,2001/12/11
IEKAQ,2010/08/11,416.91,JKSFF,450.17,2003/04/04
SLUBE,2004/06/06,-23.05,LUUWC,-31.7,2003/12/06
LVPTU,2003/10/29,0.57,BSMYX,-634.2,2016/06/20
HYMPC,2014/11/11,237.32,ZKMWE,700.4,2011/11/21
TXDWJ,2004/03/16,491.2,ECWAH,540.96,2013/04/27
LDGGA,2014/04/24,-560.21,ZYLLS,583.8,2017/03/22
JRLJC,2007/04/29,-486.93,RUPCA,-879.75,2003/12/10
LYVDP,2010/09/29,-975.31,HDFRD,-183.63,2003/07/07
VQPIV,2005/06/14,-132.81,RVXJO,-716.73,2015/01/18
QAJFS,2018/08/21,539.96,PPHBM,847.77,2009/06/09
ULYLM,2010/10/10,-787.73,YWKNW,-61.68,2000/04/18
RMRZK,2006/02/21,-729.43,HJUXB,-412.98,2004/11/29
QSQTK,2008/04/29,775.04,UQNYT,501.25,2006/09/28
TBTNN,2007/12/14,-680.91,RFBIB,-112.3,2011/03/30
NGAXP,2013/10/17,-64.38,ACYKH,504.61,2001/08/04
LAGGV,2011/05/02,971.15,ZNJJF,-25.96,2002/08/29
LJMEM,2012/10/01,521.6,CYUHF,459.81,2004/07/04
YKYPW,2013/04/18,948.55,KJVNK,385.52,2002/04/06
VHSWY,2010/09/25,71.45,ISLQV,475.96,2015/12/27
RSBLF,2005/04/22,769.76,GRRZS,-539.64,2017/05/27
LRNZY,2010/07/28,-502.43,AYSFC,734.58,2015/05/21
GMJEM,2005/11/05,-415.7,NLEGL,-579.28,2014/12/29
JJKNG,2015/08/03,-741.63,LFSCT,864.97,2010/03/05
EGEXW,2007/05/11,530.19,GYMOV,977.71,2018/09/27
THMHO,2010/05/18,795.59,UUJQL,-787.78,2014/11/07
ZOVSF,2000/01/14,59.59,NOODG,-417.06,2004/10/16
CNFVE,2012/02/05,824.35,ZWIMW,19.6,2000/08/18
AMSIB,2014/02/15,-138.15,OLQDW,-346.88,2010/02/02
VCVOP,2010/12/17,176.04,IJKKH,838.52,2018/06/19
OPLKJ,2019/10/04,-487.64,HWPLF,648.02,2017/01/28
RQNNY,2005/07/23,-581.65,GJAVV,-845.31,2018/02/26
UPPVB,2005/10/26,-249.34,SGENV,868.59,2013/12/30
LJQSJ,2013/03/16,-281.24,OCBSM,166.83,2008/03/02
NXHAG,2016/10/01,839.47,BONMO,-694.98,2013/09/26
ZXSBL,2019/04/12,92.04,VERJX,-982.75,2012/03/27
SMOVP,2015/09/21,617.71,KTKWA,22.99,2008/12/10
OFGAQ,2008/09/04,-649.9,BLULQ,-992.06,2009/02/10
QIWMT,2017/06/08,859.71,HRKJH,-285.47,2015/01/23
UMLFX,2002/09/24,-223.25,TGBUI,44.54,2018/04/15
ATPWE,2010/05/28,-644.45,APALB,-29.55,2011/07/10
GSGWE,2012/09/10,644.77,MUPFZ,-706.85,2001/01/01
CFRZS,2010/01/10,734.97,YOULW,321.39,2017/03/03
CDHGB,2017/05/02,-212.59,ASXON,-627.12,2000/11/12
PKVKI,2001/08/17,749.49,WZNJA,503.29,2015/09/01
YTFZN,2002/04/17,-666.29,AYKID,-470.04,2011/03/16
LBAAB,2017/05/10,521.94,IRPNI,222.34,2013/05/21
LDTRC,2015/05/21,877.42,DPWAJ,-128.06,2016/04/14
QJOLC,2016/03/15,167.71,YTUTJ,497.64,2004/10/18
MPFRA,2010/07/14,769.31,TYVPC,-912.99,2008/07/18
ONECC,2007/12/12,178.95,FIKPK,-582.59,2016/09/18
MZMTE,2016/02/23,165.07,YBODW,-893.82,2003/11/13
ZDHLG,2016/05/23,-479.36,ISAMP,250.35,2006/04/01
OCRAL,2007/07/21,51.12,TMBJZ,879.93,2002/12/08
XNULJ,2002/05/25,517.58,VITJL,509.17,2003/09/27
DNMVG,2019/09/14,-8.98,NADPL,-534.21,2008/02/09
ODCZE,2007/10/13,-523.6,XUFAM,603.66,2002/07/23
WOZQI,2011/06/08,342.84,OUPLM,371.38,2002/05/22
XWXQI,2002/01/03,393.91,BWCJT,512.69,2007/07/11
ZJTKE,2004/11/19,-159.96,HLPIJ,529.38,2007/08/21
UWGZP,2015/06/24,722.74,DNXSC,-687.23,2017/11/18
HXZKS,2012/01/19,-878.56,ZMMYH,406.87,2019/04/27
BITUY,2018/12/02,370.47,TASEX,-341.94,2003/10/22
KLLKF,2000/11/19,-499.71,AQDHG,338.96,2000/05/23
INLVQ,2017/03/01,179.31,CFVQL,403.62,2011/05/03
QAGFY,2018/02/24,-731.8,EOJOT,-49.0,2005/04/28
HWKBU,2007/02/22,388.64,RWPKB,-816.42,2002/10/04
IAEPR,2004/10/01,145.84,GANKB,-574.57,2015/12/23
LANVJ,2007/06/03,285.74,WMWXX,335.13,2005/03/20
UYPPX,2010/06/07,78.8,ZNSVG,578.53,2018/09/30
RDFMD,2005/01/17,389.83,YEUDC,370.3,2018/02/21
YURQR,2008/10/06,2.65,GGERD,-468.19,2002/12/07
UBCPI,2017/12/18,-765.16,GAYPJ,-361.31,2013/12/13
IDRWF,2006/06/30,560.02,KJQDI,392.87,2002/11/10
YDUYR,2016/09/01,984.24,JGQPZ,367.3,2014/03/03
IEOJR,2011/07/04,848.78,XROQL,-545.48,2013/02/20
HAGBL,2008/03/21,-665.74,CYLQQ,842.84,2015/03/08
PWMMO,2002/03/14,-744.61,AHFFG,504.6,2006/03/18
SAHCZ,2015/12/26,-426.01,FENZZ,-113.5,2015/07/10
BBKWS,2008/12/19,-718.11,CADNQ,180.54,2011/11/05
CMZPK,2007/09/29,-741.07,MKENS,-230.16,2012/06/27
FEHBT,2004/02/25,44.23,PXJIR,844.08,2018/06/25
SLFII,2007/01/06,-481.99,IHDAA,884.85,2011/03/15
EYBWU,2004/09/30,63.81,YRDRA,5.11,2000/01/21
LRDLO,2012/01/29,750.43,NUHEM,633.77,2004/07/10
XLGLS,2019/03/03,-962.58,XSABH,966.77,2004/04/02
MQPBK,2019/03/15,-257.74,QAFGC,-731.32,2000/11/12
JWZXJ,2001/12/14,638.83,VJQWC,258.0,2002/07/16
TXHUX,2013/08/12,-512.12,KOLAS,-214.08,2006/03/16
JWBXW,2000/12/06,128.91,CCPEL,179.25,2004/05/12
TBOOH,2013/08/14,-547.34,YQHRY,-504.2,2006/08/18
XLBUT,2017/07/08,20.07,ARTAE,-112.16,2004/03/29
PWXWF,2014/04/08,179.76,PYMRY,495.63,2006/10/10
CLHVQ,2013/12/23,-74.45,TPJPL,-910.71,2007/11/12
ARRAV,2003/02/12,187.81,GTEHQ,564.6,2009/03/15
FXNGG,2000/09/10,-515.38,SLNFK,411.18,2010/01/03
SLQDB,2013/07/18,562.62,FJQJT,625.18,2009/06/20
SEXKO,2016/04/23,-375.5,QJRNM,-936.59,2017/02/19
EHMBJ,2015/02/19,-359.85,MLBDT,837.97,2008/09/02
FMQPK,2003/11/01,-82.52,XMVLP,-510.9,2011/01/04
NSRUY,2008/08/14,897.79,ALDWS,0.19,2006/02/26
DYEDK,2014/08/06,577.03,MPAHB,-166.28,2006/11/14
STSUF,2007/07/27,-640.83,GBIIJ,927.69,2014/07/11
BBDXG,2005/11/25,-838.71,UNOWF,-276.48,2011/04/24
ZIZUS,2019/09/26,84.98,SBGDP,-931.29,2010/07/19
SAPQO,2009/07/17,873.87,QWPQM,494.68,2019/10/20
HMBOP,2000/01/15,-491.39,HSFTL,965.13,2013/03/21
DDEAB,2008/09/27,71.69,FEECK,109.96,2007/04/27
PKGLV,2012/01/02,-921.29,OJLSR,383.37,2009/07/10
ZLYDR,2010/08/25,-930.83,SWULS,-39.17,2013/01/16
LNJHX,2002/03/29,250.18,AVFGB,6.76,2015/06/14
WBNBY,2014/02/15,-794.5,KRMMR,-375.67,2015/03/17
KVOFA,2019/12/14,-152.53,ADRZT,348.05,2019/05/06
THHHH,2002/12/07,-405.77,KKTSO,82.6,2012/05/20
KJVBR,2002/08/11,138.89,JTTVT,-952.43,2010/03/02
FQWKC,2005/01/06,-512.3,DVOJE,-725.98,2002/05/20
GNXYF,2012/11/14,-298.61,TJSQO,-459.51,2015/12/27
MQQGC,2014/03/17,-915.86,SJHSU,327.47,2007/11/24
SLKAU,2013/09/13,153.02,KPBUS,-842.09,2004/10/05
EPCTZ,2016/03/25,729.32,WCAXG,653.78,2019/05/11
JLIJU,2005/05/07,-495.01,AWPAX,891.97,2001/03/03
TQQNY,2009/01/11,173.48,NCRPR,-783.81,2012/09/23
MJUCL,2018/03/10,431.03,TLTYQ,38.78,2019/06/07
NWWOP,2013/02/20,607.18,FXLKU,-927.84,2003/11/12
XDZTK,2007/09/12,791.4,BBYWG,-155.37,2009/02/11
ZHYPV,2017/09/16,-405.59,SAKIV,-962.08,2018/06/02
JIXPG,2016/04/20,984.89,IWKTL,840.57,2010/05/28
YDVQL,2008/07/10,-907.37,IZOJE,-821.5,2000/12/07
VSWDN,2001/05/09,-357.76,JCDRP,-360.05,2005/02/20
ZRUSB,2011/08/22,-838.11,SRTXD,29.71,2013/04/05
XJDQL,2000/03/15,346.57,QITYS,496.31,2019/05/13
HWVXE,2017/11/28,488.22,UEHQJ,746.75,2003/11/17
TRMRJ,2016/09/24,602.12,OAAEH,75.62,2007/09/12
YECVV,2009/01/21,166.73,YNPRJ,-810.53,2015/06/24
TNPRV,2003/09/24,-992.54,QMTKR,-949.35,2009/12/18
YRHQG,2008/05/15,224.98,MVNQZ,-725.24,2002/03/04
CVOGS,2003/12/20,754.74,BHOPM,515.09,2007/12/03
ZEFQV,2019/03/28,784.83,DUEJO,-302.84,2000/12/19
NACPK,2018/06/26,-872.85,QXFUK,-34.04,2003/01/31
GBIRU,2013/07/30,751.13,HVWMN,-836.19,2015/02/11
UIVAS,2011/09/20,-802.83,ZTCNK,313.35,2006/02/04
VZKSJ,2011/02/28,-947.38,REAYD,-833.96,2002/10/20
KJSMK,2013/07/01,-105.58,DVENC,-673.32,2011/08/20
UHZJU,2009/02/09,349.17,SRUXP,81.43,2009/05/15
CPGOY,2011/04/27,781.02,BLSDI,-924.35,2011/04/13
ILYDM,2017/09/24,673.1,UDMVM,-94.55,2006/01/15
QKKID,2019/07/16,288.75,HLOHC,126.85,2001/01/19
YOYUK,2009/05/26,909.06,QLYNX,844.37,2003/03/03
DICFL,2008/04/07,210.95,DQMJS,466.58,2017/09/15
VERQJ,2011/01/21,-979.61,JFMOC,982.34,2007/09/19
HMEDI,2019/03/05,-118.26,MTMRE,781.21,2001/08/03
OUWLU,2010/06/09,-804.6,EJRZP,-412.36,2003/05/09
FTOBB,2018/07/23,-356.5,PGUDE,-77.41,2003/11/02
ZLOLQ,2002/01/10,-474.43,WGSBK,-848.29,2005/11/03
VMGCG,2004/06/25,-537.11,PNVCM,-655.28,2010/11/12
WTRZM,2010/09/27,876.71,XZRVB,-411.87,2012/03/12
GSVBE,2014/10/08,837.9,PLDUJ,-21.99,2010/06/13
FLAQH,2019/02/14,399.15,EPBXJ,-814.42,2018/01/14
IYBTW,2011/05/29,-425.2,AFSPS,748.44,2001/03/14
YQJPU,2001/03/23,-870.02,XSTXS,690.88,2001/04/09
MCBIX,2013/08/02,4.09,ZVHOJ,866.11,2012/05/15
LUORK,2003/01/29,-590.6,BTHDI,115.12,2007/06/02
TMBJP,2004/10/14,281.86,INEXU,-62.0,2017/11/24
MNRXA,2007/02/19,413.16,OHQVW,-496.79,2012/11/29
JRSTP,2010/05/07,-268.8,FLWYX,-935.54,2015/07/19
XIEXY,2016/10/02,-180.35,HAAXE,-903.15,2003/08/19
FHEXZ,2008/07/29,-688.21,PIZZB,-497.83,2008/08/30
XYEKI,2007/10/01,96.54,AAOYR,-754.61,2006/04/29
IZVOV,2017/04/13,522.03,PBQTH,-265.18,2015/12/25
XHTPH,2013/06/05,243.46,IXKLP,725.96,2002/12/15
LDZJC,2000/09/16,-354.29,ECQWW,-379.58,2001/01/26
ECUJH,2014/02/24,152.19,VGIWV,-315.6,2013/07/28
TMQDE,2018/05/10,-429.74,SRUUV,345.97,2000/05/30
FKJVY,2004/02/10,-924.08,JBCBS,-199.43,2019/04/21
ILBXO,2015/02/02,-737.7,NTHPP,645.49,2017/08/12
NLPDI,2008/05/20,-679.42,LZTOY,-79.23,2018/01/29
JYBJR,2012/03/10,-314.56,XTBUN,706.57,2000/05/26
LTIKZ,2017/10/10,26.99,MPHHF,65.02,2006/07/28
WSLOJ,2012/12/02,496.52,RRDHO,979.74,2002/08/06
AJETD,2015/03/29,-738.82,KEOQZ,-783.5,2018/12/01
TBEBQ,2004/06/28,46.06,NFZVS,397.5,2019/05/13
CEJOO,2006/09/10,-725.58,UIOEQ,-379.75,2010/02/13
DKBIU,2011/05/03,438.86,WJHWY,270.4,2008/12/08
FZHPQ,2016/05/16,693.42,CLJTE,115.4,2015/10/02
FWJOK,2007/02/02,-346.94,EIGYS,-280.57,2017/09/15
LHOZY,2005/03/11,-538.86,IAUDB,793.46,2003/03/27
FPJCK,2002/02/12,481.08,IRQWZ,704.63,2014/08/02
IFCUC,2014/01/01,-288.1,TUGAT,-772.84,2014/12/31
QIGJU,2019/08/28,-641.38,TPRCR,577.84,2011/08/16
TRUHA,2000/04/26,342.22,YBRZC,307.98,2019/01/13
LCMMK,2002/06/03,763.48,CJWBU,-659.98,2011/04/02
DSYZI,2001/08/29,652.59,LUCAN,-189.89,2016/04/29
MMJHM,2000/05/30,-609.79,WRXHO,497.78,2018/06/18
MJAQM,2016/07/09,315.06,KGTIQ,181.67,2010/09/13
XHVZP,2006/05/02,-416.88,ARCUM,204.73,2006/06/11
VBLHX,2017/05/21,291.81,BEEAG,41.85,2006/08/29
XZTXL,2003/09/27,349.14,TMVIG,-719.78,2019/04/16
AFNTO,2002/07/13,-169.39,OJBMW,-983.37,2017/03/11
OZEJR,2002/05/03,-724.42,JDFNX,-762.19,2008/12/14
DLIPW,2002/07/07,178.25,XDCJU,-841.95,2013/12/04
OBOSR,2018/01/15,-101.48,SFBNY,-936.18,2006/09/20
ERWTT,2000/06/12,612.99,EEEPX,-67.83,2008/10/03
LXPBN,2011/09/29,-831.13,RJCQP,-808.81,2007/02/24
CLBFL,2015/07/19,835.83,OVDLM,342.66,2002/11/07
LAXJZ,2018/10/06,932.83,NBANH,277.94,2000/04/27
UHCJL,2007/04/15,-371.28,PIBWT,551.24,2005/01/04
SIDAD,2004/01/16,-439.29,PHAYE,104.43,2009/01/13
HXTZG,2004/09/29,-445.52,YUECE,516.72,2011/06/09
DDNRP,2015/12/25,-524.85,WDEBA,-99.67,2001/06/20
WWCKV,2001/12/24,-920.33,SVLRO,-219.56,2000/02/07
EGNRX,2006/12/29,-631.39,IOCOQ,82.95,2001/06/02
NQOHN,2000/05/14,-205.22,CKFPU,-67.14,2017/06/06
BNTRK,2008/04/24,-633.81,RDGEB,14.24,2016/08/10
JBGTJ,2004/04/10,-967.74,YMCLP,176.41,2011/09/17
TATVE,2014/03/05,104.85,QBHSS,460.36,2016/04/09
KVYLV,2007/07/12,-450.98,VOUCE,-520.38,2007/04/27
GRJLJ,2010/11/27,513.19,GNHRF,-930.12,2001/03/16
XFVFJ,2002/08/11,-779.63,CWXEE,-49.44,2013/07/06
TQUOI,2004/11/08,651.91,KGADI,-15.08,2005/02/27
TYYDS,2002/02/17,-836.09,PONVW,875.28,2018/09/12
QPOOV,2011/10/19,-791.45,NEKXQ,-172.52,2019/05/22
GEJTP,2012/08/04,178.12,TULMP,-58.13,2002/05/11
JXFES,2010/12/22,643.56,MMUHV,-971.92,2014/07/31
MJKUK,2008/07/11,137.78,PWFEW,-917.42,2004/03/11
LVFJZ,2004/05/18,557.95,PLPCR,-465.55,2000/07/16
BBRHO,2008/06/18,88.52,TNEYM,184.65,2002/07/16
ZLINL,2009/08/06,-485.41,RUGXH,-426.4,2015/12/14
ZKTKH,2012/05/07,36.41,VVVFN,268.45,2019/12/06
TVNLK,2004/07/24,739.01,HFGDP,81.2,2000/12/12
BXKAK,2011/04/25,-979.01,BKSHF,457.2,2011/09/08
JVDCY,2003/01/24,-732.51,SLHQY,-49.9,2014/07/06
CQRMR,2019/04/26,856.43,BTXGB,429.21,2005/09/04
IJJRC,2003/06/20,-842.92,VVKVT,-327.83,2012/09/28
KWQQG,2013/03/17,376.96,WIVHF,-857.92,2016/12/23
HBCYU,2000/07/24,221.57,WZPQI,604.35,2015/05/01
LGRFQ,2014/07/31,-157.76,QTLZR,-647.43,2006/09/02
DTUBM,2000/02/18,834.12,NTDAJ,-568.12,2004/12/08
LMXBN,2012/10/16,804.27,WGKLM,-21.53,2000/10/10
KVVQV,2015/07/22,531.95,RYIXF,-736.56,2001/11/27
